date,protection_end_date,store_id,product_id,protection_period_demand,raw_p90,raw_p95,residual_p90,residual_p95
2023-08-01,2023-08-05,S001,P0001,543.0,583.6956134180705,648.203689799653,-40.69561341807048,-105.20368979965303
2023-08-01,2023-08-05,S001,P0002,693.0,681.4286442771865,694.1473257433911,11.57135572281345,-1.147325743391093
2023-08-01,2023-08-05,S001,P0003,646.0,661.3668098731719,711.1210778817854,-15.36680987317186,-65.12107788178537
2023-08-01,2023-08-05,S001,P0004,446.0,563.8166151994318,622.5153466615149,-117.8166151994318,-176.51534666151485
2023-08-01,2023-08-05,S001,P0005,608.0,779.0691839513311,877.9086846186369,-171.06918395133107,-269.9086846186369
2023-08-01,2023-08-05,S001,P0006,636.0,667.7894106877662,698.293901533817,-31.789410687766235,-62.29390153381701
2023-08-01,2023-08-05,S001,P0007,899.0,920.3681208773877,988.9286164250963,-21.368120877387696,-89.92861642509627
2023-08-01,2023-08-05,S001,P0008,465.0,561.9908582133569,603.0523067150656,-96.99085821335689,-138.05230671506558
2023-08-01,2023-08-05,S001,P0009,595.0,638.4094238808436,713.7429122066366,-43.40942388084363,-118.74291220663656
2023-08-01,2023-08-05,S001,P0010,411.0,439.12851160834555,453.1884168438627,-28.128511608345548,-42.18841684386268
2023-08-01,2023-08-05,S001,P0011,428.0,468.4887023691819,511.9242029214444,-40.48870236918191,-83.92420292144442
2023-08-01,2023-08-05,S001,P0012,671.0,840.9654860687177,878.3768502993105,-169.96548606871772,-207.3768502993105
2023-08-01,2023-08-05,S001,P0013,582.0,629.9165440514954,648.178635707859,-47.91654405149541,-66.17863570785903
2023-08-01,2023-08-05,S001,P0014,699.0,852.4840811128151,930.1402333716479,-153.48408111281515,-231.14023337164792
2023-08-01,2023-08-05,S001,P0015,726.0,635.3797287906866,639.0515789446529,90.62027120931339,86.94842105534713
2023-08-01,2023-08-05,S001,P0016,1045.0,988.0629202217099,1034.7872711922382,56.937079778290126,10.212728807761778
2023-08-01,2023-08-05,S001,P0017,644.0,670.9444129433458,718.4311687232808,-26.94441294334581,-74.43116872328085
2023-08-01,2023-08-05,S001,P0018,904.0,933.4459322870882,1021.3872786454348,-29.445932287088226,-117.38727864543478
2023-08-01,2023-08-05,S001,P0019,400.0,440.32019138972504,490.9089742815792,-40.32019138972504,-90.90897428157922
2023-08-01,2023-08-05,S001,P0020,529.0,511.8346694026005,529.5118024722402,17.165330597399475,-0.5118024722402197
2023-08-01,2023-08-05,S002,P0001,687.0,818.3996620772878,906.9639178403817,-131.39966207728776,-219.96391784038167
2023-08-01,2023-08-05,S002,P0002,339.0,511.15658958949416,550.788091692184,-172.15658958949416,-211.78809169218403
2023-08-01,2023-08-05,S002,P0003,801.0,849.8395579344193,890.5776251329494,-48.839557934419304,-89.57762513294938
2023-08-01,2023-08-05,S002,P0004,642.0,788.0172551618956,856.1754333327949,-146.0172551618956,-214.1754333327949
2023-08-01,2023-08-05,S002,P0005,650.0,641.8139120817016,665.0701896738254,8.186087918298426,-15.070189673825439
2023-08-01,2023-08-05,S002,P0006,465.0,570.6332647641078,607.394535391307,-105.63326476410782,-142.39453539130704
2023-08-01,2023-08-05,S002,P0007,464.0,622.1888436443071,681.4569296054946,-158.1888436443071,-217.45692960549457
2023-08-01,2023-08-05,S002,P0008,647.0,806.0086241417741,857.8761671399327,-159.00862414177413,-210.8761671399327
2023-08-01,2023-08-05,S002,P0009,594.0,782.2965723724699,878.5255376823244,-188.29657237246988,-284.5255376823244
2023-08-01,2023-08-05,S002,P0010,853.0,870.5273912312934,888.8324987438413,-17.52739123129345,-35.832498743841256
2023-08-01,2023-08-05,S002,P0011,855.0,902.5749468143088,950.8444573987546,-47.57494681430876,-95.84445739875457
2023-08-01,2023-08-05,S002,P0012,533.0,562.5299067824326,602.4010665167621,-29.52990678243259,-69.40106651676206
2023-08-01,2023-08-05,S002,P0013,777.0,850.122024045129,907.9611304083568,-73.12202404512902,-130.96113040835678
2023-08-01,2023-08-05,S002,P0014,588.0,607.4225599993057,643.6745269449304,-19.42255999930569,-55.67452694493045
2023-08-01,2023-08-05,S002,P0015,622.0,632.5737202749882,664.7339118994256,-10.573720274988204,-42.73391189942561
2023-08-01,2023-08-05,S002,P0016,681.0,649.5544825414215,708.8304572310407,31.44551745857848,-27.83045723104067
2023-08-01,2023-08-05,S002,P0017,652.0,646.420608093139,698.7982943200029,5.579391906861019,-46.798294320002924
2023-08-01,2023-08-05,S002,P0018,576.0,693.1091262289337,738.3803597821673,-117.10912622893375,-162.38035978216726
2023-08-01,2023-08-05,S002,P0019,499.0,573.6976573142224,650.7196898789721,-74.6976573142224,-151.71968987897208
2023-08-01,2023-08-05,S002,P0020,414.0,491.80515989908986,508.62025239983967,-77.80515989908986,-94.62025239983967
2023-08-01,2023-08-05,S003,P0001,411.0,496.12918900764896,637.172871377404,-85.12918900764896,-226.17287137740402
