Dimension,Value,Rows,P90_Coverage,P95_Coverage,P90_Pinball,P95_Pinball
store_id,S001,1820,90.27472527472527,95.87912087912088,1.9045459592179461,1.9628988587405916
store_id,S002,1820,91.97802197802197,96.86813186813187,1.802949855119464,1.9830243735070099
store_id,S003,1820,90.05494505494505,95.1098901098901,1.8912264672141494,1.9738417445636367
store_id,S004,1820,90.49450549450549,95.82417582417582,1.8430754781782965,1.9103693958060515
store_id,S005,1820,91.97802197802197,96.0989010989011,2.0331508399679588,2.1218140796111515
category,Clothing,1456,88.5989010989011,96.15384615384616,1.7767025907224252,1.9529028007796023
category,Electronics,1092,92.12454212454212,96.15384615384616,1.493110156517754,1.712192095933832
category,Furniture,1638,93.04029304029304,97.13064713064713,0.9140512135288479,1.1562577640736362
category,Groceries,3640,90.27472527472527,95.05494505494505,2.4586848933140786,2.382170842506513
category,Toys,1274,91.91522762951334,96.62480376766091,2.025292220578716,2.2247675448073734
promotion_flag,0,6100,91.1311475409836,95.9672131147541,1.5828397144955941,1.745815749308335
promotion_flag,1,3000,90.60000000000001,95.93333333333334,2.529694731008966,2.487690037424973
