purchase_order_id,store_id,product_id,category,supplier_id,order_date,expected_arrival_date,ordered_qty,planned_lead_time_days,cancelled_flag,data_origin,known_received_qty,open_qty,known_status,receipt_weight,effective_incoming_qty
PO-SIM-0001916,S003,P0013,Groceries,SUP-04,2024-01-21,2024-01-27,81,6,False,simulation,0.0,81.0,입고 지연,0.7,56.699999999999996
PO-SIM-0001923,S005,P0008,Groceries,SUP-04,2024-01-21,2024-01-27,99,6,False,simulation,55.0,44.0,입고 지연,0.7,30.799999999999997
PO-SIM-0001940,S003,P0010,Groceries,SUP-04,2024-01-22,2024-01-28,70,6,False,simulation,37.0,33.0,입고 지연,0.7,23.099999999999998
PO-SIM-0001943,S004,P0002,Groceries,SUP-04,2024-01-22,2024-01-28,9,6,False,simulation,4.0,5.0,입고 지연,0.7,3.5
PO-SIM-0001955,S005,P0020,Toys,SUP-05,2024-01-22,2024-01-25,67,3,False,simulation,39.0,28.0,입고 지연,0.7,19.599999999999998
PO-SIM-0001967,S003,P0010,Groceries,SUP-04,2024-01-23,2024-01-29,7,6,False,simulation,0.0,7.0,입고 지연,0.7,4.8999999999999995
PO-SIM-0001974,S005,P0004,Groceries,SUP-04,2024-01-23,2024-01-29,62,6,False,simulation,0.0,62.0,입고 지연,0.7,43.4
PO-SIM-0001985,S002,P0008,Groceries,SUP-04,2024-01-24,2024-01-30,79,6,False,simulation,36.0,43.0,입고 예정,1.0,43.0
PO-SIM-0001986,S002,P0010,Groceries,SUP-04,2024-01-24,2024-01-30,138,6,False,simulation,72.0,66.0,입고 예정,1.0,66.0
PO-SIM-0001991,S003,P0010,Groceries,SUP-04,2024-01-24,2024-01-30,37,6,False,simulation,29.0,8.0,입고 예정,1.0,8.0
PO-SIM-0001999,S005,P0010,Groceries,SUP-04,2024-01-24,2024-01-30,41,6,False,simulation,0.0,41.0,입고 예정,1.0,41.0
PO-SIM-0002005,S001,P0009,Clothing,SUP-01,2024-01-25,2024-01-28,107,3,False,simulation,0.0,107.0,입고 지연,0.7,74.89999999999999
PO-SIM-0002008,S001,P0018,Groceries,SUP-04,2024-01-25,2024-01-31,55,6,False,simulation,0.0,55.0,입고 예정,1.0,55.0
PO-SIM-0002010,S002,P0008,Groceries,SUP-04,2024-01-25,2024-01-31,38,6,False,simulation,0.0,38.0,입고 예정,1.0,38.0
PO-SIM-0002011,S002,P0009,Groceries,SUP-04,2024-01-25,2024-01-31,163,6,False,simulation,0.0,163.0,입고 예정,1.0,163.0
PO-SIM-0002012,S002,P0010,Groceries,SUP-04,2024-01-25,2024-01-31,4,6,False,simulation,0.0,4.0,입고 예정,1.0,4.0
PO-SIM-0002013,S002,P0018,Clothing,SUP-01,2024-01-25,2024-01-28,57,3,False,simulation,0.0,57.0,입고 지연,0.7,39.9
PO-SIM-0002015,S003,P0009,Groceries,SUP-04,2024-01-25,2024-01-31,24,6,False,simulation,0.0,24.0,입고 예정,1.0,24.0
PO-SIM-0002018,S003,P0019,Groceries,SUP-04,2024-01-25,2024-01-31,89,6,False,simulation,0.0,89.0,입고 예정,1.0,89.0
PO-SIM-0002019,S004,P0002,Groceries,SUP-04,2024-01-25,2024-01-31,81,6,False,simulation,0.0,81.0,입고 예정,1.0,81.0
PO-SIM-0002021,S004,P0006,Groceries,SUP-04,2024-01-25,2024-01-31,4,6,False,simulation,0.0,4.0,입고 예정,1.0,4.0
PO-SIM-0002022,S004,P0008,Furniture,SUP-03,2024-01-25,2024-01-30,2,5,False,simulation,1.0,1.0,입고 예정,1.0,1.0
PO-SIM-0002025,S004,P0018,Furniture,SUP-03,2024-01-25,2024-01-30,7,5,False,simulation,0.0,7.0,입고 예정,1.0,7.0
PO-SIM-0002027,S005,P0001,Groceries,SUP-04,2024-01-25,2024-01-31,135,6,False,simulation,0.0,135.0,입고 예정,1.0,135.0
PO-SIM-0002029,S005,P0008,Groceries,SUP-04,2024-01-25,2024-01-31,10,6,False,simulation,0.0,10.0,입고 예정,1.0,10.0
PO-SIM-0002030,S005,P0013,Groceries,SUP-04,2024-01-25,2024-01-31,81,6,False,simulation,0.0,81.0,입고 예정,1.0,81.0
PO-SIM-0002034,S001,P0015,Toys,SUP-05,2024-01-26,2024-01-29,35,3,False,simulation,16.0,19.0,입고 지연,0.7,13.299999999999999
PO-SIM-0002037,S002,P0008,Groceries,SUP-04,2024-01-26,2024-02-01,55,6,False,simulation,0.0,55.0,입고 예정,1.0,55.0
PO-SIM-0002038,S002,P0018,Clothing,SUP-01,2024-01-26,2024-01-29,63,3,False,simulation,0.0,63.0,입고 지연,0.7,44.099999999999994
PO-SIM-0002039,S003,P0003,Electronics,SUP-02,2024-01-26,2024-01-30,29,4,False,simulation,0.0,29.0,입고 예정,1.0,29.0
PO-SIM-0002041,S003,P0010,Groceries,SUP-04,2024-01-26,2024-02-01,3,6,False,simulation,0.0,3.0,입고 예정,1.0,3.0
PO-SIM-0002042,S003,P0019,Groceries,SUP-04,2024-01-26,2024-02-01,38,6,False,simulation,0.0,38.0,입고 예정,1.0,38.0
PO-SIM-0002044,S004,P0006,Groceries,SUP-04,2024-01-26,2024-02-01,161,6,False,simulation,0.0,161.0,입고 예정,1.0,161.0
PO-SIM-0002045,S004,P0008,Furniture,SUP-03,2024-01-26,2024-01-31,1,5,False,simulation,0.0,1.0,입고 예정,1.0,1.0
PO-SIM-0002046,S004,P0010,Groceries,SUP-04,2024-01-26,2024-02-01,4,6,False,simulation,0.0,4.0,입고 예정,1.0,4.0
PO-SIM-0002047,S004,P0014,Furniture,SUP-03,2024-01-26,2024-01-31,3,5,False,simulation,0.0,3.0,입고 예정,1.0,3.0
PO-SIM-0002048,S004,P0015,Furniture,SUP-03,2024-01-26,2024-01-31,5,5,False,simulation,0.0,5.0,입고 예정,1.0,5.0
PO-SIM-0002050,S004,P0018,Furniture,SUP-03,2024-01-26,2024-01-31,7,5,False,simulation,0.0,7.0,입고 예정,1.0,7.0
PO-SIM-0002053,S005,P0004,Groceries,SUP-04,2024-01-26,2024-02-01,58,6,False,simulation,0.0,58.0,입고 예정,1.0,58.0
PO-SIM-0002054,S005,P0005,Groceries,SUP-04,2024-01-26,2024-02-01,122,6,False,simulation,0.0,122.0,입고 예정,1.0,122.0
PO-SIM-0002055,S005,P0013,Groceries,SUP-04,2024-01-26,2024-02-01,153,6,False,simulation,0.0,153.0,입고 예정,1.0,153.0
PO-SIM-0002056,S005,P0014,Furniture,SUP-03,2024-01-26,2024-01-31,27,5,False,simulation,0.0,27.0,입고 예정,1.0,27.0
PO-SIM-0002057,S005,P0015,Groceries,SUP-04,2024-01-26,2024-02-01,29,6,False,simulation,0.0,29.0,입고 예정,1.0,29.0
PO-SIM-0002062,S001,P0008,Electronics,SUP-02,2024-01-27,2024-01-31,17,4,False,simulation,0.0,17.0,입고 예정,1.0,17.0
PO-SIM-0002064,S001,P0010,Furniture,SUP-03,2024-01-27,2024-02-01,51,5,False,simulation,0.0,51.0,입고 예정,1.0,51.0
