purchase_order_id,store_id,product_id,category,supplier_id,order_date,expected_arrival_date,ordered_qty,planned_lead_time_days,cancelled_flag,data_origin
PO-SIM-0000001,S001,P0002,Clothing,SUP-01,2023-11-01,2023-11-04,39,3,False,simulation
PO-SIM-0000002,S001,P0004,Electronics,SUP-02,2023-11-01,2023-11-05,62,4,False,simulation
PO-SIM-0000003,S001,P0008,Electronics,SUP-02,2023-11-01,2023-11-05,14,4,False,simulation
PO-SIM-0000004,S001,P0015,Toys,SUP-05,2023-11-01,2023-11-04,52,3,False,simulation
PO-SIM-0000005,S001,P0017,Toys,SUP-05,2023-11-01,2023-11-04,25,3,False,simulation
PO-SIM-0000006,S001,P0018,Groceries,SUP-04,2023-11-01,2023-11-07,13,6,False,simulation
PO-SIM-0000007,S001,P0019,Furniture,SUP-03,2023-11-01,2023-11-06,62,5,False,simulation
PO-SIM-0000008,S002,P0001,Groceries,SUP-04,2023-11-01,2023-11-07,44,6,False,simulation
PO-SIM-0000009,S002,P0006,Clothing,SUP-01,2023-11-01,2023-11-04,34,3,False,simulation
PO-SIM-0000010,S002,P0016,Clothing,SUP-01,2023-11-01,2023-11-04,131,3,False,simulation
PO-SIM-0000011,S002,P0018,Clothing,SUP-01,2023-11-01,2023-11-04,56,3,False,simulation
PO-SIM-0000012,S003,P0003,Electronics,SUP-02,2023-11-01,2023-11-05,3,4,False,simulation
PO-SIM-0000013,S003,P0006,Toys,SUP-05,2023-11-01,2023-11-04,39,3,False,simulation
PO-SIM-0000014,S003,P0016,Electronics,SUP-02,2023-11-01,2023-11-05,59,4,False,simulation
PO-SIM-0000015,S003,P0019,Groceries,SUP-04,2023-11-01,2023-11-07,73,6,False,simulation
PO-SIM-0000016,S004,P0005,Clothing,SUP-01,2023-11-01,2023-11-04,35,3,False,simulation
PO-SIM-0000017,S004,P0009,Clothing,SUP-01,2023-11-01,2023-11-04,10,3,False,simulation
PO-SIM-0000018,S004,P0012,Electronics,SUP-02,2023-11-01,2023-11-05,133,4,False,simulation
PO-SIM-0000019,S004,P0018,Furniture,SUP-03,2023-11-01,2023-11-06,1,5,False,simulation
PO-SIM-0000020,S004,P0019,Clothing,SUP-01,2023-11-01,2023-11-04,31,3,False,simulation
PO-SIM-0000021,S004,P0020,Furniture,SUP-03,2023-11-01,2023-11-06,66,5,False,simulation
PO-SIM-0000022,S005,P0003,Toys,SUP-05,2023-11-01,2023-11-04,9,3,False,simulation
PO-SIM-0000023,S005,P0004,Groceries,SUP-04,2023-11-01,2023-11-07,38,6,False,simulation
PO-SIM-0000024,S005,P0013,Groceries,SUP-04,2023-11-01,2023-11-07,98,6,False,simulation
PO-SIM-0000025,S005,P0017,Toys,SUP-05,2023-11-01,2023-11-04,36,3,False,simulation
PO-SIM-0000026,S001,P0002,Clothing,SUP-01,2023-11-02,2023-11-05,18,3,False,simulation
PO-SIM-0000027,S001,P0008,Electronics,SUP-02,2023-11-02,2023-11-06,66,4,False,simulation
PO-SIM-0000028,S001,P0009,Clothing,SUP-01,2023-11-02,2023-11-05,56,3,False,simulation
PO-SIM-0000029,S001,P0012,Groceries,SUP-04,2023-11-02,2023-11-08,33,6,False,simulation
PO-SIM-0000030,S001,P0015,Toys,SUP-05,2023-11-02,2023-11-05,67,3,False,simulation
PO-SIM-0000031,S001,P0017,Toys,SUP-05,2023-11-02,2023-11-05,114,3,False,simulation
PO-SIM-0000032,S001,P0018,Groceries,SUP-04,2023-11-02,2023-11-08,100,6,False,simulation
PO-SIM-0000033,S001,P0019,Furniture,SUP-03,2023-11-02,2023-11-07,42,5,False,simulation
PO-SIM-0000034,S002,P0006,Clothing,SUP-01,2023-11-02,2023-11-05,35,3,False,simulation
PO-SIM-0000035,S002,P0008,Groceries,SUP-04,2023-11-02,2023-11-08,72,6,False,simulation
PO-SIM-0000036,S002,P0010,Groceries,SUP-04,2023-11-02,2023-11-08,181,6,False,simulation
PO-SIM-0000037,S002,P0013,Groceries,SUP-04,2023-11-02,2023-11-08,70,6,False,simulation
