receipt_id,purchase_order_id,actual_arrival_date,information_available_date,received_qty,data_origin
PO-SIM-0000001-R1,PO-SIM-0000001,2023-11-05,2023-11-05,23,simulation
PO-SIM-0000001-R2,PO-SIM-0000001,2023-11-07,2023-11-07,16,simulation
PO-SIM-0000002-R1,PO-SIM-0000002,2023-11-06,2023-11-06,62,simulation
PO-SIM-0000003-R1,PO-SIM-0000003,2023-11-05,2023-11-05,14,simulation
PO-SIM-0000004-R1,PO-SIM-0000004,2023-11-05,2023-11-05,52,simulation
PO-SIM-0000005-R1,PO-SIM-0000005,2023-11-04,2023-11-04,25,simulation
PO-SIM-0000006-R1,PO-SIM-0000006,2023-11-07,2023-11-07,13,simulation
PO-SIM-0000007-R1,PO-SIM-0000007,2023-11-06,2023-11-06,62,simulation
PO-SIM-0000008-R1,PO-SIM-0000008,2023-11-07,2023-11-07,44,simulation
PO-SIM-0000009-R1,PO-SIM-0000009,2023-11-05,2023-11-05,34,simulation
PO-SIM-0000010-R1,PO-SIM-0000010,2023-11-04,2023-11-04,131,simulation
PO-SIM-0000011-R1,PO-SIM-0000011,2023-11-05,2023-11-05,56,simulation
PO-SIM-0000012-R1,PO-SIM-0000012,2023-11-05,2023-11-05,3,simulation
PO-SIM-0000013-R1,PO-SIM-0000013,2023-11-04,2023-11-04,25,simulation
PO-SIM-0000013-R2,PO-SIM-0000013,2023-11-06,2023-11-06,14,simulation
PO-SIM-0000014-R1,PO-SIM-0000014,2023-11-08,2023-11-08,59,simulation
PO-SIM-0000015-R1,PO-SIM-0000015,2023-11-06,2023-11-06,73,simulation
PO-SIM-0000016-R1,PO-SIM-0000016,2023-11-03,2023-11-03,35,simulation
PO-SIM-0000017-R1,PO-SIM-0000017,2023-11-06,2023-11-06,10,simulation
PO-SIM-0000018-R1,PO-SIM-0000018,2023-11-06,2023-11-06,133,simulation
PO-SIM-0000019-R1,PO-SIM-0000019,2023-11-06,2023-11-06,1,simulation
PO-SIM-0000020-R1,PO-SIM-0000020,2023-11-04,2023-11-04,31,simulation
PO-SIM-0000021-R1,PO-SIM-0000021,2023-11-09,2023-11-09,66,simulation
