date,store_id,product_id,category,region,inventory_level,incoming_order_qty,backorder_qty,inventory_position,pack_size,minimum_order_qty,demand_qty,point_forecast,p90_target_stock,recommended_target_stock,p90_order_qty,p95_order_qty_unconstrained,recommended_order_qty,order_constraint_applied,inventory_status,order_priority,excess_priority,excess_inventory,shortage_to_target,promotion_flag,discount_pct,price,management_action
2023-11-01,S001,P0001,Electronics,North,346,0.0,0.0,346.0,1,0,99,100.46578708665034,135.28265015998412,143.87751302609684,0,0,0,False,과잉재고,해당 없음,높음,202.12248697390316,0.0,1,25,54.56,과잉재고 관리
2023-11-01,S001,P0002,Clothing,North,75,0.0,0.0,75.0,1,0,87,91.20957001773289,101.5599353313039,113.14778273596052,27,39,39,False,발주 필요,높음,해당 없음,0.0,38.14778273596052,0,0,63.54,우선 발주
2023-11-01,S001,P0003,Clothing,North,285,0.0,0.0,285.0,1,0,119,116.75280701291567,114.27230540024549,123.27197249178762,0,0,0,False,과잉재고,해당 없음,높음,161.7280275082124,0.0,0,10,53.39,과잉재고 관리
2023-11-01,S001,P0004,Electronics,North,90,0.0,0.0,90.0,1,0,114,122.1041438254421,136.25654961519803,151.9119351418638,47,62,62,False,발주 필요,높음,해당 없음,0.0,61.91193514186381,1,25,90.79,우선 발주
2023-11-01,S001,P0005,Groceries,North,939,0.0,0.0,939.0,1,0,143,143.3957588264979,157.38756232600045,172.0803981430945,0,0,0,False,과잉재고,해당 없음,심각,766.9196018569055,0.0,1,20,54.48,과잉재고 긴급 관리
2023-11-01,S001,P0006,Toys,North,471,0.0,0.0,471.0,1,0,120,118.03992734520625,125.96165521004666,135.99203025406635,0,0,0,False,과잉재고,해당 없음,심각,335.0079697459337,0.0,0,0,44.45,과잉재고 긴급 관리
2023-11-01,S001,P0007,Groceries,North,654,0.0,0.0,654.0,1,0,68,70.42383067554343,88.463572711925,133.2372008692396,0,0,0,False,과잉재고,해당 없음,심각,520.7627991307604,0.0,0,5,22.35,과잉재고 긴급 관리
2023-11-01,S001,P0008,Electronics,North,106,0.0,0.0,106.0,1,0,70,74.1876006879991,96.77290004245398,119.64012390894432,0,14,14,False,발주 필요,보통,해당 없음,0.0,13.640123908944318,0,5,39.14,발주 검토
2023-11-01,S001,P0009,Clothing,North,164,0.0,0.0,164.0,1,0,74,74.44189525212488,89.11300761814203,119.72859363339464,0,0,0,False,적정 재고,해당 없음,해당 없음,44.27140636660536,0.0,0,0,87.34,정상 유지
2023-11-01,S001,P0010,Furniture,North,322,0.0,0.0,322.0,1,0,82,83.00335141507296,89.85014353063745,94.67287390064729,0,0,0,False,과잉재고,해당 없음,심각,227.3271260993527,0.0,0,5,131.85,과잉재고 긴급 관리
2023-11-01,S001,P0011,Furniture,North,242,0.0,0.0,242.0,1,0,39,39.56559141804388,48.54483198180425,75.53818574848955,0,0,0,False,과잉재고,해당 없음,심각,166.46181425151045,0.0,0,0,149.25,과잉재고 긴급 관리
2023-11-01,S001,P0012,Groceries,North,293,0.0,0.0,293.0,1,0,164,164.8373751798702,172.22655682389478,193.2931334177679,0,0,0,False,과잉재고,해당 없음,주의,99.7068665822321,0.0,1,15,90.25,과잉재고 주의
2023-11-01,S001,P0013,Toys,North,173,0.0,0.0,173.0,1,0,121,127.31754061166632,138.5345934794175,155.68320815083695,0,0,0,False,적정 재고,해당 없음,해당 없음,17.316791849163053,0.0,1,15,30.73,정상 유지
