date,store_id,product_id,category,base_price,actual_price,discount_pct,promotion_flag,is_holiday,stock_level_start,lead_time_days,true_demand,sales_qty,lost_sales_qty
2023-01-01,STR_001,PRD_01_ELEC,Electronics,299,299,0,0,0,210,0,20,20,0
2023-01-01,STR_001,PRD_02_ELEC,Electronics,599,599,0,0,0,112,0,10,10,0
2023-01-01,STR_001,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,3500,0,582,582,0
2023-01-01,STR_001,PRD_04_GROC,Grocery,12,12,0,0,0,1680,0,284,284,0
2023-01-01,STR_001,PRD_05_FASH,Apparel,45,45,0,0,0,560,0,50,50,0
2023-01-01,STR_001,PRD_06_FASH,Apparel,95,71.25,0.25,1,0,350,0,72,72,0
2023-01-01,STR_001,PRD_07_HOME,Home,35,35,0,0,0,840,0,88,88,0
2023-01-01,STR_001,PRD_08_HOME,Home,150,150,0,0,0,280,0,35,35,0
2023-01-01,STR_002,PRD_01_ELEC,Electronics,299,218.27,0.27,1,0,210,0,26,26,0
2023-01-01,STR_002,PRD_02_ELEC,Electronics,599,599,0,0,0,112,0,8,8,0
2023-01-01,STR_002,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,3500,0,378,378,0
2023-01-01,STR_002,PRD_04_GROC,Grocery,12,12,0,0,0,1680,0,211,211,0
2023-01-01,STR_002,PRD_05_FASH,Apparel,45,45,0,0,0,560,0,38,38,0
2023-01-01,STR_002,PRD_06_FASH,Apparel,95,95,0,0,0,350,0,38,38,0
2023-01-01,STR_002,PRD_07_HOME,Home,35,35,0,0,0,840,0,58,,0
2023-01-01,STR_002,PRD_08_HOME,Home,150,150,0,0,0,280,0,23,23,0
2023-01-01,STR_003,PRD_01_ELEC,Electronics,299,299,0,0,0,210,0,25,25,0
2023-01-01,STR_003,PRD_02_ELEC,Electronics,599,599,0,0,0,112,0,7,7,0
2023-01-01,STR_003,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,3500,0,439,439,0
2023-01-01,STR_003,PRD_04_GROC,Grocery,12,12,0,0,0,1680,0,207,207,0
2023-01-01,STR_003,PRD_05_FASH,Apparel,45,45,0,0,0,560,0,41,41,0
2023-01-01,STR_003,PRD_06_FASH,Apparel,95,95,0,0,0,350,0,53,53,0
2023-01-01,STR_003,PRD_07_HOME,Home,35,35,0,0,0,840,0,72,72,0
2023-01-01,STR_003,PRD_08_HOME,Home,150,150,0,0,0,280,0,27,27,0
2023-01-01,STR_004,PRD_01_ELEC,Electronics,299,299,0,0,0,210,0,24,24,0
2023-01-01,STR_004,PRD_02_ELEC,Electronics,599,599,0,0,0,112,0,8,8,0
2023-01-01,STR_004,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,3500,0,549,549,0
2023-01-01,STR_004,PRD_04_GROC,Grocery,12,12,0,0,0,1680,0,259,259,0
2023-01-01,STR_004,PRD_05_FASH,Apparel,45,45,0,0,0,560,0,43,43,0
2023-01-01,STR_004,PRD_06_FASH,Apparel,95,95,0,0,0,350,0,54,54,0
2023-01-01,STR_004,PRD_07_HOME,Home,35,35,0,0,0,840,0,87,87,0
2023-01-01,STR_004,PRD_08_HOME,Home,150,150,0,0,0,280,0,31,31,0
2023-01-01,STR_005,PRD_01_ELEC,Electronics,299,299,0,0,0,210,0,15,15,0
2023-01-01,STR_005,PRD_02_ELEC,Electronics,599,599,0,0,0,112,0,11,11,0
2023-01-01,STR_005,PRD_03_GROC,Grocery,4.5,3.69,0.18,1,0,0,0,372,0,372
2023-01-01,STR_005,PRD_04_GROC,Grocery,12,12,0,0,0,0,0,175,0,175
2023-01-01,STR_005,PRD_05_FASH,Apparel,45,45,0,0,0,560,0,37,37,0
2023-01-01,STR_005,PRD_06_FASH,Apparel,95,95,0,0,0,350,0,40,40,0
2023-01-01,STR_005,PRD_07_HOME,Home,35,35,0,0,0,840,0,53,53,0
2023-01-01,STR_005,PRD_08_HOME,Home,150,150,0,0,0,280,0,18,18,0
2023-01-02,STR_001,PRD_01_ELEC,Electronics,299,299,0,0,0,190,0,26,26,0
2023-01-02,STR_001,PRD_02_ELEC,Electronics,599,467.22,0.22,1,0,102,0,16,16,0
2023-01-02,STR_001,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2918,0,344,344,0
2023-01-02,STR_001,PRD_04_GROC,Grocery,12,10.44,0.13,1,0,1396,0,174,174,0
2023-01-02,STR_001,PRD_05_FASH,Apparel,45,45,0,0,0,510,0,55,55,0
2023-01-02,STR_001,PRD_06_FASH,Apparel,95,71.25,0.25,1,0,278,0,86,86,0
2023-01-02,STR_001,PRD_07_HOME,Home,35,28.7,0.18,1,0,752,0,98,98,0
2023-01-02,STR_001,PRD_08_HOME,Home,150,150,0,0,0,245,0,30,30,0
2023-01-02,STR_002,PRD_01_ELEC,Electronics,299,299,0,0,0,184,0,14,14,0
2023-01-02,STR_002,PRD_02_ELEC,Electronics,599,599,0,0,0,104,0,7,7,0
2023-01-02,STR_002,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,3122,0,220,220,0
2023-01-02,STR_002,PRD_04_GROC,Grocery,12,12,0,0,0,1469,0,115,115,0
2023-01-02,STR_002,PRD_05_FASH,Apparel,45,45,0,0,0,522,0,32,32,0
2023-01-02,STR_002,PRD_06_FASH,Apparel,95,95,0,0,0,312,0,42,42,0
2023-01-02,STR_002,PRD_07_HOME,Home,35,35,0,0,0,782,0,58,58,0
2023-01-02,STR_002,PRD_08_HOME,Home,150,124.5,0.17,1,0,257,0,25,25,0
2023-01-02,STR_003,PRD_01_ELEC,Electronics,299,224.25,0.25,1,0,185,0,42,42,0
2023-01-02,STR_003,PRD_02_ELEC,Electronics,599,599,0,0,0,105,0,6,6,0
2023-01-02,STR_003,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,3061,0,277,277,0
2023-01-02,STR_003,PRD_04_GROC,Grocery,12,9.6,0.2,1,0,1473,0,169,169,0
2023-01-02,STR_003,PRD_05_FASH,Apparel,45,34.2,0.24,1,0,519,0,68,68,0
2023-01-02,STR_003,PRD_06_FASH,Apparel,95,95,0,0,0,297,0,54,54,0
2023-01-02,STR_003,PRD_07_HOME,Home,35,35,0,0,0,768,0,60,60,0
2023-01-02,STR_003,PRD_08_HOME,Home,150,150,0,0,0,253,0,22,22,0
2023-01-02,STR_004,PRD_01_ELEC,Electronics,299,299,0,0,0,186,0,17,17,0
2023-01-02,STR_004,PRD_02_ELEC,Electronics,599,599,0,0,0,104,0,11,11,0
2023-01-02,STR_004,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2951,0,347,347,0
2023-01-02,STR_004,PRD_04_GROC,Grocery,12,8.76,0.27,1,0,1421,0,163,163,0
2023-01-02,STR_004,PRD_05_FASH,Apparel,45,45,0,0,0,517,0,52,52,0
2023-01-02,STR_004,PRD_06_FASH,Apparel,95,95,0,0,0,296,0,60,60,0
2023-01-02,STR_004,PRD_07_HOME,Home,35,35,0,0,0,753,0,69,69,0
2023-01-02,STR_004,PRD_08_HOME,Home,150,150,0,0,0,249,0,26,26,0
2023-01-02,STR_005,PRD_01_ELEC,Electronics,299,299,0,0,0,195,0,14,14,0
2023-01-02,STR_005,PRD_02_ELEC,Electronics,599,491.18,0.18,1,0,101,0,15,15,0
2023-01-02,STR_005,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,0,0,253,0,253
2023-01-02,STR_005,PRD_04_GROC,Grocery,12,12,0,0,0,1505,0,133,133,0
2023-01-02,STR_005,PRD_05_FASH,Apparel,45,45,0,0,0,523,0,34,34,0
2023-01-02,STR_005,PRD_06_FASH,Apparel,95,95,0,0,0,310,0,33,33,0
2023-01-02,STR_005,PRD_07_HOME,Home,35,35,0,0,0,787,0,65,65,0
2023-01-02,STR_005,PRD_08_HOME,Home,150,150,0,0,0,262,0,16,16,0
2023-01-03,STR_001,PRD_01_ELEC,Electronics,299,299,0,0,0,164,0,20,20,0
2023-01-03,STR_001,PRD_02_ELEC,Electronics,599,599,0,0,0,86,0,7,7,0
2023-01-03,STR_001,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2574,0,356,356,0
2023-01-03,STR_001,PRD_04_GROC,Grocery,12,12,0,0,0,1222,0,174,174,0
2023-01-03,STR_001,PRD_05_FASH,Apparel,45,45,0,0,0,455,0,47,47,0
2023-01-03,STR_001,PRD_06_FASH,Apparel,95,95,0,0,0,192,0,66,66,0
2023-01-03,STR_001,PRD_07_HOME,Home,35,35,0,0,0,654,0,84,84,0
2023-01-03,STR_001,PRD_08_HOME,Home,150,150,0,0,0,215,0,31,31,0
2023-01-03,STR_002,PRD_01_ELEC,Electronics,299,230.23,0.23,1,0,170,0,18,18,0
2023-01-03,STR_002,PRD_02_ELEC,Electronics,599,599,0,0,0,97,0,6,6,0
2023-01-03,STR_002,PRD_03_GROC,Grocery,4.5,2.925,0.35,1,0,2902,0,309,309,0
2023-01-03,STR_002,PRD_04_GROC,Grocery,12,12,0,0,0,1354,0,120,120,0
2023-01-03,STR_002,PRD_05_FASH,Apparel,45,33.75,0.25,1,0,490,0,46,46,0
2023-01-03,STR_002,PRD_06_FASH,Apparel,95,95,0,0,0,270,0,32,32,0
2023-01-03,STR_002,PRD_07_HOME,Home,35,35,0,0,0,724,0,64,64,0
2023-01-03,STR_002,PRD_08_HOME,Home,150,150,0,0,0,232,0,22,22,0
2023-01-03,STR_003,PRD_01_ELEC,Electronics,299,299,0,0,0,143,0,17,17,0
2023-01-03,STR_003,PRD_02_ELEC,Electronics,599,599,0,0,0,99,0,15,15,0
2023-01-03,STR_003,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2784,0,271,271,0
2023-01-03,STR_003,PRD_04_GROC,Grocery,12,12,0,0,0,1304,0,129,129,0
2023-01-03,STR_003,PRD_05_FASH,Apparel,45,45,0,0,0,451,0,53,53,0
2023-01-03,STR_003,PRD_06_FASH,Apparel,95,95,0,0,0,243,0,44,44,0
2023-01-03,STR_003,PRD_07_HOME,Home,35,25.55,0.27,1,0,708,0,70,70,0
2023-01-03,STR_003,PRD_08_HOME,Home,150,150,0,0,0,231,0,16,16,0
2023-01-03,STR_004,PRD_01_ELEC,Electronics,299,299,0,0,0,169,0,17,17,0
2023-01-03,STR_004,PRD_02_ELEC,Electronics,599,599,0,0,0,93,0,6,6,0
2023-01-03,STR_004,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2604,0,355,355,0
2023-01-03,STR_004,PRD_04_GROC,Grocery,12,12,0,0,0,1258,0,165,165,0
2023-01-03,STR_004,PRD_05_FASH,Apparel,45,45,0,0,0,465,0,49,49,0
2023-01-03,STR_004,PRD_06_FASH,Apparel,95,95,0,0,0,236,0,50,50,0
2023-01-03,STR_004,PRD_07_HOME,Home,35,35,0,0,0,684,0,89,89,0
2023-01-03,STR_004,PRD_08_HOME,Home,150,100.5,0.33,1,0,223,0,49,49,0
2023-01-03,STR_005,PRD_01_ELEC,Electronics,299,299,0,0,0,181,0,12,12,0
2023-01-03,STR_005,PRD_02_ELEC,Electronics,599,599,0,0,0,86,0,14,14,0
2023-01-03,STR_005,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2875,0,245,245,0
2023-01-03,STR_005,PRD_04_GROC,Grocery,12,12,0,0,0,1372,0,123,123,0
2023-01-03,STR_005,PRD_05_FASH,Apparel,45,45,0,0,0,489,0,37,37,0
2023-01-03,STR_005,PRD_06_FASH,Apparel,95,95,0,0,0,277,0,40,40,0
2023-01-03,STR_005,PRD_07_HOME,Home,35,35,0,0,0,722,0,50,50,0
2023-01-03,STR_005,PRD_08_HOME,Home,150,150,0,0,0,246,0,21,21,0
2023-01-04,STR_001,PRD_01_ELEC,Electronics,299,299,0,0,0,144,0,13,13,0
2023-01-04,STR_001,PRD_02_ELEC,Electronics,599,599,0,0,0,79,0,7,7,0
2023-01-04,STR_001,PRD_03_GROC,Grocery,4.5,4.5,0,0,0,2218,0,325,325,0
2023-01-04,STR_001,PRD_04_GROC,Grocery,12,10.56,0.12,1,0,1048,0,174,174,0
2023-01-04,STR_001,PRD_05_FASH,Apparel,45,45,0,0,0,408,0,52,52,0
2023-01-04,STR_001,PRD_06_FASH,Apparel,95,95,0,0,0,126,2,56,56,0
2023-01-04,STR_001,PRD_07_HOME,Home,35,35,0,0,0,570,0,77,77,0
2023-01-04,STR_001,PRD_08_HOME,Home,150,150,0,0,0,184,0,26,26,0
